Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
metest4	139	Picture	checker_flash	1666000	0	1	2166	3	0	2000	other	0
metest4	140	Picture	fix	1670500	0	1	14166	3	0	14000	other	0
metest4	141	Picture	sent_vis	1684833	0	1	2667	2	0	2500	other	0
metest4	142	Picture	fix	1699166	0	2	17167	3	0	17000	other	0
metest4	143	Sound	click_R	1716567	67	1			0		other	0
metest4	144	Picture	fix	1734000	0	1	2149	21	0	2000	other	0
metest4	144	Picture	calc_vis	1736331	0	18	2649	39	0	2500	other	0
metest4	144	Response	8	1739580	3249	1						
metest4	144	Response	8	1744268	7937	1						
metest4	145	Response	8	1748521	12190	10						
metest4	146	Picture	fix	1750500	0	1	20167	2	0	20000	other	0
metest4	147	Picture	sent_vis	1770833	0	1	2667	2	0	2500	other	0
metest4	148	Picture	fix	1785165	0	19	14168	20	0	14000	other	0
metest4	149	Sound	click_L	1799579	79	1			0		other	0
metest4	149	Picture	fix	1815000	0	1	11163	21	0	11000	other	0
metest4	149	Response	4	1819328	4328	1						
metest4	150	Response	4	1823027	8027	1						
metest4	150	Sound	calc_aud	1826390	57	1			0		other	0
metest4	151	Response	4	1826548	215	1						
metest4	152	Picture	fix	1842000	0	1	8167	2	0	8000	other	0
metest4	153	Picture	checkerH	1850326	0	14	2174	15	0	2000	other	0
metest4	154	Picture	checker_flash	1854833	0	1	2167	2	0	2000	other	0
metest4	155	Picture	checker_flash	1859333	0	1	2167	2	0	2000	other	0
metest4	156	Picture	checker_flash	1863833	0	1	2167	2	0	2000	other	0
metest4	157	Picture	checker_flash	1868333	0	1	2166	16	0	2000	other	0
metest4	158	Picture	fix	1872833	0	1	14167	2	0	14000	other	0
metest4	159	Picture	rest	1887167	0	1	22166	2	0	22000	other	0
metest4	160	Picture	fix	1909500	0	1	8167	2	0	8000	other	0
metest4	161	Picture	rest	1917833	0	1	22167	2	0	22000	other	0
metest4	162	Picture	fix	1940167	0	1	11166	2	0	11000	other	0
metest4	163	Picture	rest	1951500	0	1	22167	2	0	22000	other	0
metest4	164	Picture	fix	1973827	0	13	2173	14	0	2000	other	0
metest4	165	Picture	checkerH	1976167	0	1	2166	2	0	2000	other	0
metest4	166	Picture	checker_flash	1980667	0	1	2158	22	0	2000	other	0
metest4	167	Picture	checker_flash	1985167	0	1	2157	16	0	2000	other	0
metest4	168	Picture	checker_flash	1989667	0	1	2166	2	0	2000	other	0
metest4	169	Picture	checker_flash	1994167	0	1	2155	15	0	2000	other	0
metest4	170	Picture	fix	1998667	0	1	17166	2	0	17000	other	0
metest4	171	Sound	calc_aud	2016078	78	2			0		other	0
metest4	172	Picture	fix	2028648	0	21	11019	22	0	11000	other	0
metest4	173	Picture	sent_vis	2039833	0	1	2667	2	0	2500	other	0
metest4	174	Picture	fix	2054167	0	1	17166	2	0	17000	other	0
metest4	175	Picture	calc_vis	2071496	0	15	2671	16	0	2500	other	0
metest4	176	Picture	fix	2085500	0	1	17161	13	0	17000	other	0
metest4	177	Picture	calc_vis	2102833	0	1	2667	2	0	2500	other	0
metest4	178	Picture	fix	2117167	0	1	14166	3	0	14000	other	0
metest4	179	Picture	checkerV	2131500	0	1	2167	2	0	2000	other	0
metest4	180	Picture	checker_flash	2136000	0	1	2167	2	0	2000	other	0
metest4	181	Picture	checker_flash	2140500	0	1	2167	2	0	2000	other	0
metest4	182	Picture	checker_flash	2145000	0	1	2167	2	0	2000	other	0
metest4	183	Picture	checker_flash	2149500	0	1	2167	2	0	2000	other	0
metest4	184	Picture	fix	2154000	0	1	17167	2	0	17000	other	0
metest4	185	Picture	checkerV	2171333	0	2	2167	3	0	2000	other	0
metest4	186	Picture	checker_flash	2175833	0	2	2167	3	0	2000	other	0
metest4	187	Picture	checker_flash	2180333	0	2	2167	3	0	2000	other	0
metest4	188	Picture	checker_flash	2184834	0	1	2166	2	0	2000	other	0
metest4	189	Picture	checker_flash	2189334	0	1	2166	2	0	2000	other	0
metest4	190	Picture	fix	2193834	0	1	14151	18	0	14000	other	0
